X,GeneID,MajorityProteinIDs,logFC_RIK.CTRL,adjpval_RIK.CTRL
492,MYL12A,P19105,5.09,0.026543409
493,MYL6,P60660,0.0783,0.917102217
494,NAMPT,P43490,0.65,0.039691668
495,NAP1L1,P55209,1.11,0.201274678
496,NAT10,Q9H0A0,-0.457,0.518426135
497,NCAPD3,P42695,5.67,0.004226012
498,NCAPG2,Q86XI2,6.03,0.002748484
499,NCAPH,Q15003,-0.406,0.875872801
500,NCAPH2,Q6IBW4,7.05,0.000516518
501,NCBP1,Q09161,-1.18,0.007578737
502,NCL,P19338,-0.278,0.08521124
503,NCLN,Q969V3,4.63,0.023278162
504,NDUFA10,O95299,6.16,0.001373777
505,NDUFA13,Q9P0J0,0.751,0.023178827
506,NDUFA4,O00483,0.62,0.07829977
507,NDUFA5,Q16718,1.7,0.002239734
508,NDUFA8,P51970,-0.203,0.676651968
509,NDUFA9,Q16795,4.31,0.007687104
510,NDUFAF3,Q9BU61,2.83,0.210450588
511,NDUFAF4,Q9P032,3.86,0.033884126
512,NDUFB10,O96000,3.69,0.122273698
513,NDUFS1,P28331,3.38,0.044022426
514,NDUFS2,O75306,6.25,0.002511013
515,NDUFS3,O75489,0.745,0.167844523
516,NDUFS7,O75251,6.39,0.001412313
517,NDUFV1,P49821,5.59,0.017623797
518,NEFL,P07196,6.59,0.001915855
519,NEFM,P07197,3.59,0.000983699
520,SNU13,P55769,-1.3,0.060672645
521,NKRF,O15226,-1.8,0.097695313
522,NMT1,P30419,4.33,0.019346658
523,NOC2L,Q9Y3T9,2.09,0.290484086
524,NOC3L,Q8WTT2,1.62,0.398470046
525,NOL9,Q5SY16,4.47,0.035378184
526,NOLC1,Q14978,0.422,0.88930374
527,NONO,Q15233,-1.06,0.23566547
528,NOP2,P46087,-1.74,0.002610098
529,NOP56,O00567,-0.75,0.379186131
530,NOP58,Q9Y2X3,-0.466,0.441765216
531,NPEPPS,P55786,0.135,0.641670577
532,NPM1,P06748,-0.435,0.174383257
533,NPM3,O75607,0.0468,0.97703737
534,NTMT1,Q9BV86,-1.38,0.021454583
535,NTPCR,Q9BSD7,0.673,0.28745178
536,NUBP2,Q9Y5Y2,4.99,0.004129078
537,NUDT1,P36639,-1.37,0.002748484
538,NUDT21,O43809,-1.85,0.000329276
539,NUFIP2,Q7Z417,-2.09,0.426644908
540,NUP107,P57740,5.14,0.009749342
541,NUP133,Q8WUM0,6.03,0.008234483
542,NUP155,O75694,-1.37,0.000434291
543,NUP160,Q12769,9.1,5.33e-05
544,NUP188,Q5SRE5,6.23,0.004799908
545,NUP214,P35658,3.15,0.198887262
546,NUP43,Q8NFH3,5.39,0.002108827
547,NUP62,P37198,1.24,0.433647765
548,NUP85,Q9BW27,7.07,0.000362227
549,NUP93,Q8N1F7,1.81,0.000363146
550,NUP98,P52948,2.09,0.415268008
551,NXF1,Q9UBU9,0.466,0.848041091
552,OAT,P04181,-0.0415,0.925512302
553,OSGEP,Q9NPF4,3.61,0.019742163
554,P01619,P01619,-1.44,0.001209756
555,P0DP25,P0DP25,1.06,0.0538778
556,P4HA1,P13674,4.83,0.011450194
557,P4HB,P07237,3.13,0.083121462
558,PABPC1,P11940,-0.488,0.010987391
559,PABPC4,Q13310,-0.906,0.019778138
560,PABPN1,Q86U42,-1.54,0.002739416
561,PAM16,Q9Y3D7,-0.397,0.856884884
562,PARP1,P09874,-0.434,0.728115487
563,PCBP1,Q15365,-1.44,0.000193807
564,PCBP2,Q15366,-1.35,3.22e-05
565,PCMT1,P22061,-0.761,0.094014975
566,PCMTD2,Q9NV79,-0.156,0.939798449
567,PCNA,P12004,1.16,0.000120431
568,PDCD6,O75340,-1.66,0.213336003
569,PDCD6IP,Q8WUM4,-1.85,0.196527958
570,PDHA1,P08559,1.74,0.50961927
571,PDHB,P11177,0.566,0.050868435
572,PDLIM7,Q9NR12,4.25,0.036748979
573,PELO,Q9BRX2,4.7,0.01370786
574,PFKL,P17858,4.2,0.093238176
575,PFKM,P08237,4.51,0.022735981
576,PFKP,Q01813,6.02,0.005806734
577,PFN1,P07737,-2.81,0.147403648
578,PFN2,P35080,-1.32,0.000477576
579,PGM3,O95394,4.89,0.01370786
580,PGRMC1,O00264,2.12,0.161490137
581,PHB1,P35232,-0.888,0.305805676
582,PHB2,Q99623,-0.149,0.673237325
583,PHF5A,Q7RTV0,0.549,0.815466676
584,PHF6,Q8IWS0,0.652,0.192456256
585,PHGDH,O43175,0.407,0.044627166
586,PHKG2,P15735,5.26,0.019346658
587,PKM,P14618,-1.59,0.169803777
588,PLEC,Q15149,2.79,0.00077799
589,PNN,Q9H307,-2.9,0.134197199
590,POLD1,P28340,5.73,0.01162373
591,POLD3,Q15054,4.58,0.019871934
592,POLR1C,O15160,1.36,0.419935238
593,POLR2A,P24928,1.58,0.0538778
594,POLR2B,P30876,2.23,7.39e-05
595,POLR2C,P19387,5.98,0.016940495
596,POLR2E,P19388,1.48,0.352390644
597,POLR2H,P52434,0.542,0.481704689
598,POLR2J3,Q9H1A7,4.15,0.019346658
599,POLR2L,P62875,1.89,0.211267174
600,POM121C,A8CG34,3.77,0.041357128
601,PPA1,Q15181,-1.84,0.000880856
602,PPM1B,O75688,-1.09,0.002152642
603,PPM1F,P49593,0.199,0.689154929
604,PPP1CA,P62136,-1.57,0.57132072
605,PPP1CC,P36873,3.82,0.090868431
606,PPP2CA,P67775,0.58,0.137395744
607,PPP2R1A,P30153,-0.0253,0.929699881
608,PPP4C,P60510,5.97,0.000411251
609,PPP6C,O00743,5.98,0.005623733
610,PPP6R3,Q5H9R7,7.15,0.00088095
611,PPT1,P50897,1.99,0.392518392
612,PRDM2,Q13029,6.78,0.017466557
613,PRDX1,Q06830,-0.944,0.006863202
614,PRDX3,P30048,-1.86,0.001714449
615,PRKAR2A,P13861,1.49,0.525560449
616,PRKDC,P78527,3.72,2.89e-05
617,PRMT1,Q99873,-2.22,0.342290897
618,PRPF19,Q9UMS4,-0.658,0.009609522
619,PRPF39,Q86UA1,1.29,0.665419619
620,PRPF40A,O75400,-3.62,0.024604546
621,PRPF8,Q6P2Q9,1.11,0.023743665
622,PRPS1,P60891,2.38,0.259740047
623,PRRC2A,P48634,-1.74,0.470703588
624,PRRC2C,Q9Y520,-1.66,0.000522514
625,PSMA5,P28066,-0.334,0.207241409
626,PSMC1,P62191,4.79,0.028420783
627,PSMC2,P35998,2.56,0.113303994
628,PSMC3,P17980,0.573,0.094879015
629,PSMC4,P43686,2.23,0.189150522
630,PSMC5,P62195,0.804,0.141272834
631,PSMC6,P62333,0.349,0.903038796
632,PSMD1,Q99460,6.61,0.000771441
633,PSMD11,O00231,3.25,0.137915292
634,PSMD2,Q13200,1.67,0.353160507
635,PSMD3,O43242,2.83,0.159172312
636,PSMD4,P55036,4.79,0.023640881
637,PSMD7,P51665,3.82,0.073179368
638,PTBP1,P26599,-1.19,0.00532486
639,PTCD3,Q96EY7,-0.325,0.876230522
640,PUF60,Q9UHX1,-2.53,0.119621398
641,PWP1,Q13610,-0.853,0.078867463
642,PYCR1,P32322,2.5,0.226453721
643,EPRS1 /// QARS1,P47897,-0.361,0.61835627
644,QPCT,Q16769,-1.06,0.697976921
645,QPCTL,Q9NXS2,2.51,0.217176885
646,RAB6A,P20340,4.19,0.018574902
647,RAD50,Q92878,4.89,0.032234159
648,RALY,Q9UKM9,-1.53,0.000231353
649,RAN,P62826,-0.479,0.420923367
650,RANBP1,P43487,-2.3,0.002170195
651,RANBP2,P49792,3.14,0.067005936
652,RANGAP1,P46060,3.82,0.091088562
653,RARS1,P54136,-0.128,0.785980899
654,RBBP4,Q09028,0.401,0.587027385
655,RBBP7,Q16576,1.44,0.333478937
656,RBFOX2,O43251,1.82,0.203254245
657,RBM10,P98175,-0.205,0.958254959
658,RBM14,Q96PK6,-0.622,0.07829977
659,RBM3,P98179,-1.37,0.074300489
660,RBM39,Q14498,-0.361,0.097846643
661,RBM8A,Q9Y5S9,-1.99,0.000954309
662,RBMX,P38159,-0.715,0.007932513
663,RBX1,P62877,-1.12,0.065430265
664,RCHY1,Q96PM5,-1.11,0.056622674
665,RCN1,Q15293,6.64,0.004071506
666,RFC3,P40938,5.43,0.005990574
667,RFC5,P40937,1.64,0.000835829
668,RGPD3,A6NKT7,3.14,0.066470968
669,RHEB,Q15382,3.85,0.105710667
670,RHOT2,Q8IXI1,5.93,0.000934211
671,RICTOR,Q6R327,6.52,1.91e-05
672,RMDN3,Q96TC7,6.36,0.001143717
673,RNF138,Q8WVD3,4.8,0.034110968
674,OBI1,Q5W0B1,8.88,0.000234204
675,RNMT,O43148,-3.01,0.086924882
676,RNPS1,Q15287,-1.47,0.114483986
677,RPA1,P27694,-1.64,0.006957489
678,RPAP2,Q8IXW5,2,0.331501118
679,RPL10,P27635,-0.173,0.301987178
680,RPL10A,P62906,-0.233,0.33194837
681,RPL11,P62913,-0.519,0.012572221
682,RPL12,P30050,-0.422,0.023278162
683,RPL13,P26373,-0.123,0.559267739
684,RPL13A,P40429,-0.173,0.498880595
685,RPL14,P50914,-0.245,0.132109505
686,RPL15,P61313,-0.353,0.039691668
687,RPL17,P18621,-0.422,0.016515586
688,RPL18,Q07020,-0.131,0.615954974
689,RPL18A,Q02543,-0.367,0.107295003
690,RPL19,P84098,-0.554,0.012238547
691,RPL21,P46778,-0.132,0.697976921
692,RPL22,P35268,-1.49,0.000622662
693,RPL23,P62829,1.39,0.000579951
694,RPL23A,P62750,-0.668,0.002179377
695,RPL24,P83731,0.137,0.590443059
696,RPL26,P61254,-0.574,0.026269332
697,RPL26L1,Q9UNX3,-0.457,0.329444065
698,RPL27,P61353,-0.28,0.167080999
699,RPL27A,P46776,-0.336,0.194888503
700,RPL28,P46779,-0.0475,0.867622702
701,RPL29,P47914,-0.729,0.006553406
702,RPL3,P39023,-0.303,0.06942503
703,RPL30,P62888,-0.946,0.000789494
704,RPL31,P62899,-0.402,0.044865177
705,RPL32,P62910,-0.355,0.069890409
706,RPL34,P49207,-0.372,0.056634382
707,RPL35,P42766,-1.22,0.000384673
708,RPL35A,P18077,-0.386,0.12260081
709,RPL36,Q9Y3U8,-0.476,0.008818802
710,RPL36A,P83881,-1.05,0.009201859
711,RPL37A,P61513,-2.12,0.005033842
712,RPL38,P63173,1.33,0.000450171
713,RPL39P5,Q59GN2,-1.05,0.019038643
714,RPL4,P36578,-0.149,0.512321419
715,RPL5,P46777,-0.186,0.538810572
716,RPL6,Q02878,-0.293,0.124583426
717,RPL7,P18124,-0.176,0.394113189
718,RPL7A,P62424,-0.267,0.168057058
719,RPL8,P62917,-0.363,0.067005936
720,RPL9,P32969,-0.909,0.001598559
721,RPLP0,P05388,-0.406,0.054296951
722,RPLP1,P05386,-0.437,0.186664618
723,RPLP2,P05387,0.0229,0.889679044
724,RPN2,P04844,0.737,0.003725757
725,RPS10,P46783,0.235,0.520910945
726,RPS11,P62280,-0.0846,0.66766364
727,RPS12,P25398,-0.895,0.017760037
728,RPS13,P62277,-0.331,0.200389441
729,RPS14,P62263,-0.0483,0.786736937
730,RPS15,P62841,-0.584,0.101810347
731,RPS15A,P62244,-0.538,0.022376843
732,RPS16,P62249,1.06,0.000955822
733,RPS17,P08708,-0.808,0.046389111
734,RPS18,P62269,1.19,0.00062693
735,RPS19,P39019,-0.484,0.037777433
736,RPS2,P15880,0.192,0.299216606
737,RPS20,P60866,-0.0229,0.92123046
738,RPS23,P62266,-0.68,0.034635723
739,RPS24,P62847,-0.45,0.091983824
740,RPS25,P62851,-0.697,0.033099825
741,RPS27L,Q71UM5,1.42,0.000191411
742,RPS28,P62857,-1.38,0.000585521
743,RPS29,P62273,-1.44,0.091095264
744,RPS3,P23396,1.55,9.72e-06
745,RPS3A,P61247,-0.343,0.102448318
746,RPS4X,P62701,-0.152,0.415268008
747,RPS5,P46782,0.0245,0.96094078
748,RPS6,P62753,-0.17,0.40820896
749,RPS7,P62081,-1.01,0.003363753
750,RPS8,P62241,-0.279,0.12286369
751,RPS9,P46781,-0.109,0.62478666
752,RPSA,P08865,-1.27,0.002338529
753,RRAD,P55042,-0.14,0.920466639
754,RRBP1,Q9P2E9,-1.23,0.036011042
755,RRP12,Q5JTH9,-0.267,0.894881658
756,RSL1D1,O76021,-1.31,0.044003588
757,RTCB,Q9Y3I0,-0.527,0.065430265
758,RTTN,Q86VV8,4.23,0.097275107
759,RUVBL1,Q9Y265,2.38,0.000183221
760,RUVBL2,Q9Y230,2.89,1.35e-05
761,SAE1,Q9UBE0,3.56,0.078949415
762,SAFB,Q15424,-1.77,0.000712549
763,SAMM50,Q9Y512,2.39,0.132364836
764,SAP18,O00422,-3.66,0.08521124
765,SCAMP3,O14828,-0.741,0.030742345
766,SCD,O00767,0.905,0.057480235
767,SCO1,O75880,0.859,0.067347779
768,SCO2,O43819,6.68,0.000506632
769,SDF4,Q9BRK5,3.48,0.034235352
770,SDHA,P31040,-0.838,0.027022131
771,SDHB,P21912,-1.46,0.007569523
772,SEC13,P55735,1.11,0.067494771
773,SEC16A,O15027,5.1,0.010824754
774,SEC22B,O75396,3.25,0.093605413
775,SEC23A,Q15436,-1.69,0.008607566
776,SEC23B,Q15437,-2.89,0.210450588
777,SEC24B,O95487,-1,0.710836718
778,SEC24C,P53992,-1.8,0.010305064
779,SEC61A1,P61619,1.72,0.28745178
780,SEC61B,P60468,3.69,0.079932441
781,SERBP1,Q8NC51,-2.62,0.001585861
782,SERPINH1,P50454,-0.792,0.413482246
783,SETD2,Q9BYW2,6.8,3.99e-05
784,SF1,Q15637,-1.95,0.004267384
785,SF3A1,Q15459,-1.61,0.457766571
786,SF3B1,O75533,-1.08,0.000880856
787,SF3B2,Q13435,-1.12,0.00825867
788,SF3B3,Q15393,0.14,0.520910945
789,SF3B5,Q9BWJ5,-1.01,0.001542834
790,SF3B6,Q9Y3B4,0.372,0.844282785
791,SFPQ,P23246,-1.21,0.153763947
792,SFXN1,Q9H9B4,-0.752,0.057151782
793,SFXN4,Q6P4A7,7.75,0.00012907
794,SHMT2,P34897,-1.6,0.49426658
795,SKIC2,Q15477,5.47,0.011567637
796,MTREX,P42285,-0.994,0.025534839
797,SLC16A1,P53985,0.618,0.005770501
798,SLC1A5,Q15758,-0.693,0.083024486
799,SLC25A1,P53007,3.2,0.042864163
800,SLC25A10,Q9UBX3,5.82,0.00747812
801,SLC25A22,Q9H936,3.99,0.054968152
802,SLC25A4,P12235,2.87,0.156166808
803,SLC25A5,P05141,1.75,9.98e-06
804,SLC25A6,P12236,0.821,0.00110903
805,SLC39A7,Q92504,4.39,0.00825867
806,SLC7A5,Q01650,0.0235,0.934377472
807,SLIRP,Q9GZT3,1.77,0.259947997
808,SMARCA4,P51532,-0.525,0.343627844
809,SMARCA5,O60264,2.23,0.416993952
810,SMARCC1,Q92922,-1.47,0.064160637
811,SMC1A,Q14683,1.8,1.04e-05
812,SMC2,O95347,1.57,0.001215429
813,SMC3,Q9UQE7,2.85,1.7e-05
814,SMC4,Q9NTJ3,2.32,6.2e-05
815,SMN1,Q16637,-0.194,0.552045816
816,SMNDC1,O75940,-3.47,0.052981009
817,SNRNP200,O75643,1.31,0.000329276
818,SNRNP40,Q96DI7,-0.709,0.074300489
819,SNRNP70,P08621,-0.475,0.254816999
820,SNRPA,P09012,-0.58,0.064421175
821,SNRPA1,P09661,-1.58,0.004034514
822,SNRPB2,P08579,-1.08,0.602119941
823,SNRPC,P09234,-1.18,0.004129078
824,SNRPD1,P62314,-1.02,0.08521124
825,SNRPD2,P62316,-0.709,0.311257243
826,SNRPD3,P62318,-0.781,0.023456511
827,SNRPE,P62304,0.817,0.719866874
828,SNRPF,P62306,-0.535,0.08521124
829,SNRPG,P62308,-1.49,0.117266622
830,SNRPN,P63162,-1.04,0.004359958
831,SON,P18583,2.05,0.000512198
832,SPC25,Q9HBM1,5.34,0.001297462
833,SPCS2,Q15005,2.4,0.349860572
834,SPTAN1,Q13813,-0.451,0.805928899
835,SPTLC1,O15269,2.81,0.118482876
836,SQSTM1,Q13501,7.47,0.00049784
837,SRP14,P37108,-1.06,0.735674321
838,SRP9,P49458,-4.21,0.04102583
839,SRPK1,Q96SB4,-1.99,0.000835829
840,SRPRB,Q9Y5M8,0.0783,0.848041091
841,SRRM1,Q8IYB3,-1.28,0.056634382
842,SRRM2,Q9UQ35,-1.73,0.263717606
843,SRSF1,Q07955,-0.597,0.066457055
844,SRSF10,O75494,-1.17,0.030008769
845,SRSF2,Q01130,-0.546,0.012238547
846,SRSF3,P84103,-0.624,0.027932248
847,SRSF4,Q08170,0.707,0.807281889
848,SRSF5,Q13243,-1.45,0.005304613
849,SRSF6,Q13247,-1.06,0.012151334
850,SRSF7,Q16629,-0.554,0.047736621
851,SRSF9,Q13242,-1.44,0.000231353
852,SSB,P05455,-1.48,4.17e-05
853,SSBP1,Q04837,-0.482,0.415268008
854,SSR1,P43307,0.888,0.051925596
855,SSR4,P51571,1.28,0.000592165
856,STAU1,O95793,-0.994,0.018049011
857,STON2,Q8WXE9,0.58,0.703183885
858,STT3A,P46977,3.3,0.118856283
859,SUCLG1,P53597,2.45,0.079268529
860,SUGP2,Q8IX01,-1.16,0.448910882
861,SUPT16H,Q9Y5B9,2.85,0.407170126
862,SYNCRIP,O60506,-0.774,0.043460943
863,TAF15,Q92804,-1.46,0.139748676
864,TAF6L,Q9Y6J9,4.24,0.019346658
865,TARDBP,Q13148,-1.1,0.013525368
866,TCAF1,Q9Y4C2,4.82,0.010824754
867,ELOC,Q15369,-0.54,0.028426766
868,ELOB,Q15370,-0.569,0.022529193
869,TCF25,Q9BQ70,6.33,0.001260659
870,TCP1,P17987,1.83,2.46e-05
871,TECR,Q9NZ01,0.244,0.648050057
872,TELO2,Q9Y4R8,4.5,0.028426766
873,TFB2M,Q9H5Q4,5.14,0.019761698
874,TFG,Q92734,-0.506,0.174383257
875,TFRC,P02786,0.131,0.451303487
876,THOC2,Q8NI27,2.44,0.027932248
877,THRAP3,Q9Y2W1,-1.61,0.064344716
878,TIA1,P31483,-0.97,0.057151782
879,TIAL1,Q01085,-0.907,0.05192736
880,TIGAR,Q9NQ88,6.42,0.001267258
881,TIMM17B,O60830,3.6,0.086172193
882,TIMM23,O14925,4.61,0.039688102
883,TIMM44,O43615,2.73,0.000483499
884,TIMM50,Q3ZCQ8,1.52,0.000120253
885,TIMMDC1,Q9NPL8,6.56,0.000823621
886,TMA16,Q96EY4,-1.54,0.448910882
887,TMCO1,Q9UM00,2.39,0.107691521
888,TMED10,P49755,1.6,6.97e-05
889,TMED2,Q15363,3.87,0.066322575
890,TMED5,Q9Y3A6,1.66,0.001701981
891,TMED9,Q9BVK6,0.795,0.013340478
892,TMEM165,Q9HC07,1.34,0.427781707
893,TMEM200C,A6NKL6,-1.05,0.585063624
894,TMEM33,P57088,0.304,0.251156094
895,TMPO,P42166,0.176,0.757821529
896,TNRC6A,Q8NDV7,-1.04,0.169803777
897,TNRC6B,Q9UPQ9,-0.669,0.343367529
898,TOMM22,Q9NS69,0.577,0.072672158
899,TP53,P04637,-0.623,0.297798347
900,TPP1,O14773,2.82,0.106402311
901,TRA2A,Q13595,-1.47,0.005806734
902,TRA2B,P62995,-1.39,0.03747927
903,TRAF2,Q12933,6.1,0.001526503
904,TRIM28,Q13263,1.67,0.000108291
905,TRIM32,Q13049,6.28,0.001542834
906,TRIO,O75962,-2.03,0.417518587
907,TRIP13,Q15645,0.0715,0.876230522
908,TSPYL1,Q9H0U9,4.09,0.035850797
909,TTC27,Q6P3X3,6.97,0.001347676
910,IFT70B,Q8N4P2,5.74,0.001964971
911,TTN,Q8WZ42,1.91,0.552045816
912,TUBA1A,Q71U36,0.78,0.676651968
913,TUBA1B,P68363,1.24,0.000120431
914,TUBA1C,Q9BQE3,2.04,0.306020234
915,TUBB,P07437,1.42,2.27e-05
916,TUBB2A,Q13885,0.971,0.050292701
917,TUBB2B,Q9BVA1,1.79,0.000111429
918,TUBB3,Q13509,5.05,0.018049011
919,TUBB4A,P04350,2.49,0.001950829
920,TUBB6,Q9BUF5,3.72,0.000142089
921,TUBG1,P23258,3.06,0.09250119
922,TUFM,P49411,1.47,1.12e-05
923,TXN,P10599,-1.32,0.059307758
924,U2AF1,P0DN76,-1.77,0.00024754
925,U2AF2,P26368,-1.33,0.034075271
926,U2SURP,O15042,-1.58,0.001904455
927,UBA52,P62987,3.58,0.073570984
928,UBAC2,Q8NBM4,5.29,0.020430316
929,UBAP2L,Q14157,-0.977,0.147403648
930,UBR5,O95071,8.69,0.000857446
931,UCK2,Q9BZX2,0.302,0.346020431
932,UMPS,P11172,2.17,0.154736046
933,UNC45A,Q9H3U1,0.698,0.017117989
934,UPF1,Q92900,-0.874,0.056769227
935,UQCRC2,P22695,0.94,0.003746277
936,UQCRFS1,P47985,0.866,0.157594417
937,ATP5MK,Q96IX5,0.84,0.011903898
938,USP10,Q14694,-3.59,0.078949415
939,USP9X,Q93008,5.76,0.004284857
940,UTS2,O95399,-0.556,0.025534839
941,VIM,P08670,1,0.007578737
942,VN1R5,Q7Z5H4,1.36,0.408693493
943,VPS4A,Q9UN37,5.41,0.00862958
944,WDR6,Q9NNW5,3.34,0.00200098
945,SKIC8,Q9GZS3,0.707,0.193035149
946,WDR77,Q9BQA1,4.68,0.022529193
947,XPO1,O14980,0.321,0.209723023
948,XPO5,Q9HAV4,1.1,0.405617086
949,XPOT,O43592,3.09,0.038187752
950,XRCC5,P13010,-0.794,0.157551909
951,XRCC6,P12956,-0.956,0.150541019
952,XRN2,Q9H0D6,-1.33,0.050524403
953,YBX1,P67809,-0.222,0.451303487
954,YBX3,P16989,-0.685,0.059307758
955,YME1L1,Q96TA2,3.19,0.028055224
956,YTHDC1,Q96MU7,-0.109,0.944323367
957,YTHDF1,Q9BYJ9,-1.24,0.379482658
958,YTHDF2,Q9Y5A9,0.432,0.207241409
959,YWHAE,P62258,1.07,0.225758769
960,YWHAH,Q04917,2.1,0.364214569
961,YWHAQ,P27348,-0.476,0.8282222
962,YWHAZ,P63104,0.467,0.523147194
963,YY1,P25490,4.22,0.016962693
964,ZC3H14,Q6PJT7,-2.8,0.002739416
965,ZC3HAV1,Q7Z2W4,-0.708,0.004083053
966,ZC3HAV1L,Q96H79,-2.54,0.077173339
967,ZFR,Q96KR1,-2.63,0.20983449
968,ZNF24,P17028,6.02,0.011959699
969,ZNF326,Q5BKZ1,-0.767,0.23406624
970,ZNF346,Q9UL40,3.43,0.067494771
971,ZNF451,Q9Y4E5,-1.24,0.000225642
972,ZNF638,Q14966,-2.36,0.213336003
973,ZW10,O43264,5.79,0.016460397
974,ZWINT,O95229,6.42,0.000588003
975,ZYG11B,Q9C0D3,-0.772,0.007079318
